Id,Review,Sentiment
30,well presented content comprehensive illustration easy follow cover proper order every aspect drawing autocrat would appreciate english subtitle available whole course student could access handy lecture exercise,3
31,basic course learner without autocrat experience,3
32,good quality,3
33,thanks,3
34,course comprehensive detailed bit fast paced people new finance,3
35,great course person,3
36,think engaged course practical example,3
37,excellent overview way printing use may used future,3
38,well documented course assignment designed way stimulates think box,3
39,good informative course,3
40,excellent course completely enjoyed thank vishal team,3
41,opened understanding could accomplished printing,3
42,important information copy right patent etc,3
43,progress state flux one must reach best academia particular subject get realistic update technology course help catch design thinking get,3
44,really challenging enriching course amazing world printing course discover unimaginable amount application printing offer open mind way think_NEG possible_NEG,3
45,really good survey class potential printing example individual empower others without obstacle traditional tooling relatively short learning curve low investment also demonstrates way increasingly future capable designing solution problem increasing agility thing could make better would design challenge thanks,3
46,excellent course enjoyed learning :),3
47,great course informative,3
48,start saying course give good insight wide variety application printing lot interview people leveraging additive manufacturing original effective way last week course also introduces interesting seemingly effective framework design thinking reason rated star however useful thing learn course design thinking framework think would better video scattered throughout rest specialisation see value including material specialisation outright_NEG course_NEG,2
49,course contain_NEG new_NEG information_NEG teach_NEG excitedly_NEG shows_NEG commonly_NEG known_NEG facts_NEG better_NEG ways_NEG invest_NEG time_NEG,1
50,great course enjoyed learning material,3
51,excellent course good class easy follow updated content high quality video,3
52,merged course,2
53,nutritional course real world example let understand potential printing emerging technology,3
54,interesting,3
55,topic related economy business something_NEG good_NEG enjoy_NEG reading_NEG course_NEG helped_NEG learn_NEG bunch_NEG useful_NEG things_NEG would_NEG otherwise_NEG put_NEG effort_NEG studying_NEG,3
56,able understand material device used printing software aspect printer get introductory view cutting edge application printing biomedical application,3
57,course interesting enlightening wonderful introduction especially learner prior_NEG experience_NEG printing_NEG,3
58,great information video ready next step gu,3
59,interested deeper insight printing technology recommend course prerequisites_NEG need_NEG desire_NEG learn_NEG course_NEG introduce_NEG different_NEG manufacturing_NEG methods_NEG present_NEG printing_NEG companies_NEG presently_NEG actively_NEG want_NEG transitions_NEG printing_NEG field_NEG believe_NEG course_NEG good_NEG start_NEG,3
60,full individual speaking,2
61,le repetitive full useful information application,2
62,good inspirational example,3
63,great course provided great degree knowledge application design process,3
64,could easily compressed two week course sometimes interview long need explain,2
65,good introduction application printing,2
66,good overview amazing technology,3
67,session long little boring could shorter related content,2
68,exemplary example printing applied real world problem,3
69,great content still need go glean wealth information put together,3
70,interesting content particularly last week design thinking course topic seem_NEG hold_NEG together_NEG well_NEG videos_NEG include_NEG lot_NEG monotonous_NEG talking_NEG heads_NEG conveys_NEG benefit_NEG able_NEG listen_NEG videos_NEG without_NEG consistently_NEG watching_NEG interview_NEG questions_NEG asked_NEG speakers_NEG sometimes_NEG printed_NEG screen_NEG asked_NEG verbally_NEG watching_NEG miss_NEG questions_NEG would_NEG like_NEG see_NEG course_NEG refocused_NEG design_NEG thinking_NEG printing_NEG applications_NEG interspersed_NEG examples_NEG rather_NEG constituting_NEG lion_NEG share_NEG course_NEG believe_NEG format_NEG would_NEG engaging_NEG better_NEG job_NEG delivering_NEG skills_NEG opportunity_NEG practice_NEG,1
71,find_NEG interesting_NEG course_NEG many_NEG interviews_NEG could_NEG works_NEG first_NEG course_NEG second_NEG expecting_NEG technical_NEG material_NEG lessons_NEG,1
72,good depth look potential application printing especially liked section development education class get thinking potential ramification printing change economy locally globally,3
73,good course see various market non profit aspect printing lot example initiative,3
74,excellent course could little visual reference talk bit tough get since watching people content still valuable,3
75,complete course interesting,3
76,great review accomplished printing,3
77,great class,3
78,super expect_NEG level_NEG engagement_NEG needed_NEG complete_NEG course_NEG pleasant_NEG surprise_NEG layman_NEG printing_NEG revolution_NEG course_NEG really_NEG expanded_NEG views_NEG printing_NEG,3
79,lot speaking without sense skip cost,1
80,basic course printing technology every aspect technology artistically explained various point view considered degree idea passed student taking course student contemplating involvement revolutionary technology able finally decide future course action believe positive short course provide base whereas course think taken_NEG rest_NEG courses_NEG till_NEG intend_NEG add_NEG sufficient_NEG value_NEG knowledge_NEG regards_NEG,3
81,great course thank,3
82,helpful video really take real world printing interview representative various industry course helped understand importance printing additive manufacturing convenient tool also look related resource,3
83,great intro video fantastic instructor engaging,3
84,excellently framed course,3
85,like fact many leader printing came diverse background share infectious spirit learning pushing boundary software hardware material science,3
86,great overview introduction printing,3
87,great want overview current situation printing technology develop business printing watch,3
88,thought great high level intro world printing,3
89,got new prospect vision printing tech,3
90,great course great implementation motivation provided definitely increased enthusiasm really looking forward course increase skill,3
91,excellent course well presented enjoyed instruction_NEG sessions_NEG also_NEG interviews_NEG specialists_NEG fascinating_NEG field_NEG great_NEG course_NEG inspire_NEG one_NEG continue_NEG pursuing_NEG career_NEG,3
92,informative approachable course really like way eric present information excited complete rest specialization,3
93,good introduction,3
94,best course beginner,3
95,thanks course opened world printing start :),3
96,great course eric encourages enthusiasm new technology revolution gave fundamental basic matter furthermore interested printing starting course surely follow following illinois university course printing,3
97,great intro printing many many way used,3
98,good experience start,3
99,give nice view printing,3
100,course change view printing revolution,3
101,got great insight towards printing,3
102,excellent lot information really interesting interview plus eric extremely clear lecture congratulation,3
103,wow learning easy bring innovation reality please join course highly recommended,3
104,great introduction printing cover basic different printing technology desktop industrial hardware show resource service available utilise printing effectively provides interview entrepreneur others industry using technology,3
105,course contain_NEG new_NEG information_NEG teach_NEG excitedly_NEG shows_NEG commonly_NEG known_NEG facts_NEG better_NEG ways_NEG invest_NEG time_NEG,1
106,fred isthat started ut fred feller need start date printing software course learner concerned course never happen_NEG even_NEG enrolled_NEG since_NEG june_NEG course_NEG support_NEG thanks_NEG reaching_NEG us_NEG someone_NEG right_NEG messy_NEG joined_NEG chat_NEG messy_NEG thanks_NEG reaching_NEG us_NEG happy_NEG help_NEG today_NEG messy_NEG sorry_NEG inconveniences_NEG messy_NEG please_NEG allow_NEG moment_NEG take_NEG look_NEG fred_NEG fred_NEG feller_NEG thanks_NEG fred_NEG feller_NEG enrolled_NEG five_NEG course_NEG specialization_NEG momentum_NEG standstill_NEG course_NEG delayed_NEG look_NEG something_NEG better_NEG messy_NEG sorry_NEG inconveniences_NEG fred_NEG checked_NEG course_NEG sessions_NEG available_NEG yet_NEG messy_NEG looks_NEG like_NEG need_NEG time_NEG look_NEG issue_NEG going_NEG escalate_NEG support_NEG specialists_NEG investigate_NEG means_NEG ending_NEG chat_NEG become_NEG support_NEG ticket_NEG email_NEG receive_NEG email_NEG transcript_NEG chat_NEG records_NEG someone_NEG support_NEG team_NEG review_NEG chat_NEG email_NEG updates_NEG soon_NEG possible_NEG fred_NEG feller_NEG ok_NEG thank_NEG,3
107,excellent introduction printing course well designed engaging looking forward course series,3
108,course fantastic learned much excited continue track,3
109,great course cannot wait next one start,3
110,according_NEG expected_NEG,2
111,thumb learned something never learnt_NEG,3
112,great course start printing technology,3
113,great introduction printing world,3
114,good introductory course novice printing helped lot understanding basic printing,3
115,good place start know_NEG anything_NEG printing_NEG,3
116,complete extensive week actually take week complete,3
117,thank much,3
118,excellent information covered understandable practical example great professor,3
119,interesting course,3
120,comprehensive total introduction basic concept printing,3
121,excellent course really looking forward rest specialization,3
122,superb introduction printing idea usage,3
123,really liked printing revolution course easy understand need_NEG background_NEG knowledge_NEG find_NEG much_NEG topic_NEG including_NEG materials_NEG used_NEG technologies_NEG printing_NEG companies_NEG also_NEG materials_NEG cover_NEG history_NEG future_NEG printing_NEG great_NEG introductory_NEG course_NEG instructor_NEG guests_NEG amazing_NEG recommend_NEG,3
124,nice introduction absolute beginner interesting interview entrepreneur,3
125,great course fundamental covered excited take next course,3
126,mostly basic stuff even introduced concept aware_NEG,3
127,great thanks eric smiley face one enrolled course would get great knowledge useful information printing additive manufacturing throw simple exciting video would_NEG get_NEG another_NEG benefits_NEG information_NEG writing_NEG like_NEG getting_NEG knowledge_NEG many_NEG companies_NEG inside_NEG see_NEG stories_NEG successful_NEG people_NEG achieves_NEG keep_NEG work_NEG meet_NEG colleagues_NEG make_NEG new_NEG friends_NEG finally_NEG grow_NEG english_NEG skills_NEG like_NEG listening_NEG grow_NEG vocabulary_NEG great_NEG thanks_NEG course_NEG team_NEG pleasure_NEG learn_NEG,3
128,nice introduction printing love,3
129,good introductory course little bit short like gu,3
130,cannot rate_NEG really_NEG enjoyed_NEG max_NEG,3
131,great course must every individual idea even eric_NEG team_NEG guide_NEG throughout_NEG wonderful_NEG technique_NEG,3
132,great course learning printing seeing technology gotten pursuing rest capstone,3
133,hesitate_NEG enroll_NEG brain_NEG storming_NEG course_NEG like_NEG way_NEG teaching_NEG,3
134,great course delivery instructor great opportunity meet great people like real journey course gave clear understanding printing high level looking forward get depth knowledge course would highly recommend course wish know printing,3
135,provides good_NEG overview_NEG printing_NEG stimulates_NEG people_NEG attend_NEG look_NEG great_NEG course_NEG start_NEG journey_NEG,3
136,great give confidence unleash creativity see world different eye great opportunity create customize object,3
137,good introductory course printing everybody every level,3
138,mind blowing course,3
139,great introduction,3
140,like course pretty concise straight forward highly recommended,3
141,eye mind opening course,3
142,good introduction printing,2
143,good introduction subject instructor never looses_NEG attention_NEG new_NEG topics_NEG examples_NEG,3
144,great introduction even people pursue_NEG completion_NEG full_NEG specialisation_NEG,3
145,perfect introduction printing world,3
146,amazing interactive engaging comprehensive,3
147,excellent introduction printing,3
148,great content video talk motivating give exciting overview subject thanks great work,3
149,great class,3
150,interactive reflective course highly recommended,3
151,good overview make long,3
152,know little nothing additive_NEG sounds_NEG interesting_NEG good_NEG place_NEG start_NEG,3
153,excellent course start completely new printing easy understand language little special tech talk course suitable virtually anybody true need_NEG tech_NEG genius_NEG get_NEG acquainted_NEG world_NEG printing_NEG,3
154,good course please provide practice quiz depth,3
155,simply interesting,3
156,nice brief introduction printing technology,3
157,good helpful introduction printing,3
158,great class,3
159,good easy understand first immersion world printing,3
160,exactly like lecturer said would like hard part last part actually remix existing model think part lecturer video depth look use app nevertheless course good learnt lot new stuff give_NEG spoilers_NEG worth_NEG,3
161,good introduction printing,3
162,great information printing help understand current scope technology start,3
163,really_NEG care_NEG stories_NEG students_NEG seeing_NEG space_NEG one_NEG whole_NEG lecture_NEG video_NEG clear_NEG ultimate_NEG sponsor_NEG felt_NEG like_NEG commercial_NEG want_NEG learn_NEG,1
164,fantastic,3
165,great class,3
166,first course excellent overview field easy follow brought everything perspective eagerly looking forward next course,3
167,excellent course thorough introduction peaked curiosity go understanding powerful technology,3
168,course great think great point start printing lot information link interview easy understand keep good work,3
169,useful understanding basic printing technology,3
170,fantastic course even never heard_NEG printing_NEG using_NEG printer_NEG highly_NEG recommend_NEG anyone_NEG interested_NEG technology_NEG futuristic_NEG concepts_NEG videos_NEG course_NEG engaging_NEG plethora_NEG interviews_NEG people_NEG involved_NEG printing_NEG industry_NEG discuss_NEG specific_NEG topics_NEG printing_NEG offer_NEG views_NEG future_NEG printing_NEG different_NEG opinions_NEG perspectives_NEG really_NEG helped_NEG understand_NEG importance_NEG printing_NEG industry_NEG consumer_NEG level_NEG considering_NEG introductory_NEG course_NEG thorough_NEG consolidates_NEG summarizes_NEG information_NEG might_NEG take_NEG ages_NEG glean_NEG internet_NEG even_NEG though_NEG printer_NEG took_NEG course_NEG learned_NEG lot_NEG,3
171,good intro printed,3
172,enjoyed class much content easy understand follow love fact pick material phone table app convenient class idea_NEG printing_NEG around_NEG long_NEG thought_NEG someone_NEG newer_NEG amazing_NEG see_NEG different_NEG applications_NEG use_NEG,3
173,course_NEG short_NEG general_NEG introduction_NEG printing_NEG,1
174,hello name ahmed egypt hub mayor think first course internet give opportunity know lot thing printing stay tuned register interested printing cheer,3
175,great introduction printing maker movement thing thought knew corrected resource never knew_NEG introduced_NEG worthwhile_NEG,3
176,good information way short course charge,2
177,practically oriented brilliantly organized,3
178,perfect introductory course really want learn something printing loved,3
179,best place get date state art printing really liked revolutionary section get exposure inter disciplinary idea floating around printing landscape,3
180,thank course good course,3
181,glad see course like one course course well structured contains lot useful information exactly needed one place complaint price course think bit expensive especially first part specialisation introductory two week course lot advertising common serious lot people buy personal printer kit course make decision buy printer company work fusion subscription etc company sponsor course make affordable interest made several course course already mechanical electrical engineering week comprised lot quite hard work mentor student certificate like idea specialisation decided pay_NEG certificate_NEG price_NEG although_NEG happy_NEG access_NEG courses_NEG thank_NEG effort_NEG,3
182,really great introductory course printing completely new subject two short module basic technique modern day application explained really clear engaging manner also really interested learn business example made use new technology recommended anyone interested new exciting technique,3
183,great endeavor learn printing technology place,3
184,excellent course wish portion non financial metric included example insight best quantify non financial metric,3
185,week kind boring maybe necessary week interesting business point view much_NEG interested_NEG accounting_NEG business_NEG decisions_NEG virtual_NEG class_NEG professor_NEG bushes_NEG quite_NEG funny_NEG :)_NEG,3
186,excellent course first week technical highly informative quite bit accounting knowledge required understand work last week lesson simple intuitive understand overall insightful module,3
187,first really enjoyed professor inner presentation sadly presentation course professor inner direct also engaging delivered content good feeling could really understand material teaching could give rating professor inner would give star rating giving course star rating say going depth accounting analytics easy_NEG really_NEG need_NEG good_NEG grasp_NEG accounting_NEG otherwise_NEG get_NEG lost_NEG professor_NEG bushes_NEG make_NEG first_NEG weeks_NEG really_NEG easy_NEG get_NEG enjoyed_NEG examples_NEG case_NEG studies_NEG simply_NEG great_NEG job_NEG really_NEG explaining_NEG illustrating_NEG concepts_NEG teaching_NEG worst_NEG setup_NEG digitally_NEG generated_NEG classroom_NEG computer_NEG generated_NEG students_NEG ask_NEG pointless_NEG questions_NEG make_NEG pointless_NEG statements_NEG answer_NEG pointless_NEG statements_NEG answers_NEG really_NEG wish_NEG time_NEG analyze_NEG much_NEG course_NEG time_NEG spent_NEG would_NEG estimate_NEG around_NEG could_NEG well_NEG higher_NEG many_NEG different_NEG examples_NEG pick_NEG form_NEG pick_NEG read_NEG iliac_NEG odyssey_NEG going_NEG ask_NEG reference_NEG regression_NEG greek_NEG letter_NEG used_NEG coefficients_NEG fair_NEG assumption_NEG someone_NEG taking_NEG class_NEG understands_NEG coefficients_NEG second_NEG exchange_NEG pa_NEG generate_NEG student_NEG says_NEG stocked_NEG run_NEG regression_NEG followed_NEG professor_NEG bushes_NEG informing_NEG us_NEG going_NEG run_NEG early_NEG regression_NEG professor_NEG bushes_NEG saying_NEG know_NEG perform_NEG earning_NEG management_NEG analysis_NEG mars_NEG certainly_NEG knows_NEG earth_NEG joke_NEG people_NEG like_NEG accountants_NEG segments_NEG add_NEG absolutely_NEG zero_NEG value_NEG lengthen_NEG time_NEG course_NEG make_NEG maters_NEG worse_NEG sure_NEG professor_NEG bushes_NEG spend_NEG even_NEG time_NEG creating_NEG additional_NEG interaction_NEG together_NEG,1
188,first english course taken though first kind difficulty language especially term profession knowledge comprehensive course still learning course concerned school course really worth taking learned lot stimulates interest accounting,3
189,thanks help,3
190,fast provided good overview would like case work apply method,3
191,providing insight need look investing company interpret balance sheet found,3
192,practical_NEG knowledge_NEG learn_NEG clear_NEG examples_NEG topics_NEG complex_NEG course_NEG,1
193,course good nevertheless say require_NEG previous_NEG experience_NEG actually_NEG experience_NEG required_NEG financial_NEG statements_NEG concepts_NEG,2
194,good course video sometimes long,3
195,fantastic course,3
196,really fantastic interesting intermediate accounting course,3
197,week satisfactory_NEG according_NEG video_NEG lectures_NEG difficult_NEG comprehend_NEG week_NEG good_NEG,1
198,best course ever studied,3
199,love professor unfortunately feel_NEG much_NEG connection_NEG really_NEG seeing_NEG much_NEG importance_NEG identifying_NEG company_NEG making_NEG fake_NEG financial_NEG statements_NEG investor_NEG everyday_NEG work_NEG really_NEG much_NEG financial_NEG statements_NEG managerial_NEG accounting_NEG week_NEG transforms_NEG mindset_NEG really_NEG appreciate_NEG one_NEG single_NEG week_NEG course_NEG literally_NEG help_NEG many_NEG companies_NEG nos_NEG week_NEG promoted_NEG,2
200,fantastic course catch chinese_NEG translation_NEG makes_NEG little_NEG bit_NEG difficult_NEG non_NEG natives_NEG learn_NEG quality_NEG great_NEG,3
201,taken one year accounting high school course really easy comprehend engaging,3
202,good course,3
203,three first week almost completely dedicated traditional finance accounting ratio analysis,1
204,course easy_NEG grasp_NEG lost_NEG interest_NEG first_NEG week_NEG barely_NEG got_NEG quiz_NEG end_NEG,1
205,course difficult since requires extensive background accounting study background strategy however grasped opportunity make finance accounting related knowledge passed course finally several time trial error professor taught course interesting fun way could boring class lot difficult hard number turn class full fun laughter like way two professor presenting knowledge well analysis thanks providing course course like organized benefit professional student need,3
206,useful material financial review cash flow statement,3
207,informative course prof bush hilarious really like teaching technique,3
208,big_NEG fan_NEG accounting_NEG honestly_NEG quite_NEG enjoy_NEG course_NEG involve_NEG lot_NEG depth_NEG math_NEG easy_NEG follow_NEG,3
209,first three week focussed heavily ratio detecting fraud earnings management organization fourth week seemed actually relate data analytics non financial aspect company play role financial outcome really see_NEG data_NEG analyst_NEG accounting_NEG field_NEG would_NEG using_NEG fraud_NEG detection_NEG scenarios_NEG real_NEG life_NEG data_NEG analyst_NEG would_NEG focused_NEG improving_NEG business_NEG analyses_NEG pertain_NEG improving_NEG certain_NEG aspects_NEG business_NEG finding_NEG manager_NEG earnings_NEG management_NEG using_NEG score_NEG etc_NEG,2
210,well done informational thanks professor dedication time educate society,3
211,major accounting still felt difficult learned knowledge teacher tell_NEG thanks_NEG,3
212,department rigidity information sharing ailment middle lower organizational level notable issue,3
213,course made look accounting different way instead common business schedule actually became exciting read find really going,3
214,fruitful course updated accounting analytics,3
215,informative interactive like style professor bush classroom teaching,3
216,believe fantastic course basic accounting knowledge willingness enter compliance area importantly concept linking financial non financial decision also fantastic bring accounting life love professor module,3
217,great accounting ratio analysis,3
218,good overview financial analytics,3
219,challenging course felt needed strong knowledge base financial statement really understand trigger potential fraud deception think need review course material reinforce concept thanks,3
220,focus first week audit analytics material quiz material could interactive overall ok course,3
221,excellent course professor bush always completed previous ten week course also superb quality programme study practical focused complete absolutely enjoyable,3
222,interesting course motivating instructor test sometimes bit much semantics little applying knowledge practical way course intro hinted good value manageable next job private life fun regret_NEG,3
223,challenging course person accounting_NEG experience_NEG,3
224,professor need undergo presentation instruction design skill talking lot everything going head reason visual_NEG prompt_NEG examples_NEG specifically_NEG last_NEG week_NEG,1
225,excellent overview identification problem financial statement,3
226,excellent course especially someone near zero knowledge financial statement analysis concept clearly presented interesting detail supporting example use inane comment cartoon character using poorly simulated accent mildly irritating,3
227,interesting course good clear explanation easy understand fun thank,3
228,clear excellent instructor free pay_NEG cert_NEG better_NEG class_NEG experience_NEG thank_NEG prof_NEG bushes_NEG,3
229,wonderful convenient discourse utterly concise,3
230,interesting course strengthening advanced accounting concept,3
231,breathtakingly think best course within business analytics specialization,3
232,difficult people without accounting background take,2
233,good structure funny prof lot digest worth,3
234,contrast provided material quite huge first week analytics explained decision shown last week principle overall concept introduced,3
235,many hour undergraduate accounting finance course work belt class give tremendous overview financial statement analysis disadvantage professor creates workbook answer conceptual question would great hoping hand work practice,3
236,excellent material instruction hard valuable,3
237,although native_NEG speaker_NEG try_NEG best_NEG understand_NEG good_NEG teacher_NEG good_NEG course_NEG,3
238,insightful topic good overview use analytics accounting,3
239,worth time thanks professor,3
240,thoroughly enjoyed course whole idea earning management cool highly recommend course,3
241,awesome course funny really sophisticated last part eye opening best course specialisation beginners_NEG though_NEG solid_NEG understanding_NEG accounting_NEG first_NEG lectures_NEG,3
242,besides serving refresher accounting topic course really delivers topic analyzing financial statement possible fraud linking non financial metric financial performance,3
243,really appreciated tool technique presented course valuable merger acquisition project involved ever,3
244,excellent thought concept presented,3
245,love professor brian bush,3
246,great concise lecture example useful supplemental file entertaining brian session,3
247,rather robust material strong focus deceptive practice detection lot ratio analysis moniker found tedious informative confirmed accountant_NEG gene_NEG,3
248,sorry say among four course specialization one really disappointed fault_NEG teachers_NEG institute_NEG think_NEG mistake_NEG made_NEG try_NEG fit_NEG many_NEG topics_NEG one_NEG course_NEG anyway_NEG opinion_NEG,2
249,amazing course,3
250,practical complementary accounting course,3
251,best auditing course,3
252,first week demonstrate analyze financial performance based accounting data taken company reported income investment decision example material presented interesting manner extensive use excel spreadsheet demonstrate calculation application common performance metric ratio test challenging interesting retook test passed information cover interesting test provided excellent learning opportunity fourth week deal liking non financial measure financial performance within typical organization parameter often one employee affect often measured concept method evaluating presented example demonstrate problem linking non financial measure financial performance able use learned class current job evaluate current business strategy company competitive business strategy since competitive business strategy must deduced combination published information reported financial performance first three week greatest benefit aspect job last week benefit help business organization within company develop business strategy,3
253,great content animation annoying,2
254,account business finance statistic graduation post graduation education teaching work experience believe professor educator designed presented course requires atleast basic training putting together important course like accounting analytics,2
255,far subject,1
256,course instructor great missed referenced material,3
257,thanks professor brian bush good explanation learned lot find module difficult prof christopher inner speaking like journalist easy_NEG non_NEG native_NEG us_NEG english_NEG speaker_NEG like_NEG follow_NEG,3
258,love taught accounting sir brian marvellous course,3
259,great course,3
260,really good teacher made boring theme college interesting watch study,3
261,good course well presented especially topic fairly complex,3
262,week best appropriate specialization,3
263,thank offering course taught lot thing known_NEG interested_NEG accounting_NEG times_NEG know_NEG could_NEG gain_NEG materials_NEG study_NEG thanks_NEG courses_NEG need_NEG worry_NEG much_NEG hope_NEG continue_NEG produce_NEG,3
264,capstone project getting delayed since handout expect complete specialization,1
265,gap prerequisite mentioned course detail stated prof bush lecture found course bit harder due ton new accounting,3
266,best course specialisation far,3
267,prof brian bush really excellent felt prof chris inner lecture quite fluffy analytics course would appreciated practice problem case study practice like operation analytics class,2
268,course informative easily used business setting go apply method learned course organization financial statement get better idea financial performance really enjoyed week information learned prior week tied measure developing causal model improve performance company,3
269,thank much good quality course benefit lot many thanks dear professor,3
270,really useful course concise resourceful,3
271,interesting course well designed using animated fun maker shoot question probably course content easy understand suited non accounting major analyst want get background accounting analysis,3
272,boring,1
273,easiest accounting common sense ever took act wasting time,1
274,business analytics course terrific way accounting analytics challenging enjoyable accounting clear information dog sense fun great course thank,3
275,extremely useful recommend :),3
276,interesting course,3
277,content clear explained professor,3
278,brain bush video really impressive area technical beginner understand rest material provide good understanding,3
279,excellent course professor bush always delivers great explanation,3
280,really appreciate instructor considerate,3
281,great course,3
282,interesting provocative course help receive additional knowledge valuable,3
283,bush fantastic inner fine entertaining_NEG bushes_NEG,3
284,extremely useful powerful course,3
285,loved accounting part course quite hard non accounting person however really enjoyed form lecture content earnings management revealing great material professor bush,3
286,best cour best,3
287,bit complicated lot material placed within week video,3
288,recommend course colleague enriched content certainly helped understand thing better way provided content structured way liked,3
289,enjoyed course topic covered feel_NEG like_NEG course_NEG content_NEG matched_NEG course_NEG description_NEG stated_NEG supposed_NEG enrolled_NEG business_NEG analytics_NEG specialization_NEG course_NEG focus_NEG analyzing_NEG business_NEG inside_NEG outside_NEG weeks_NEG course_NEG say_NEG week_NEG valid_NEG internal_NEG perspective_NEG kept_NEG high_NEG level_NEG say_NEG course_NEG could_NEG good_NEG specialization_NEG business_NEG market_NEG analysis_NEG advertised_NEG also_NEG found_NEG cartoon_NEG classroom_NEG questions_NEG annoying_NEG almost_NEG bad_NEG fingernails_NEG blackboard_NEG,1
290,great course fantastic idea around modelling equity return based business operational performance,3
291,good overview analytics option within accounting,3
292,great course great insight,3
293,great working example learn analytics financial statement analysis pace video great working excel worksheet give perfect hand experience vary run scenario done introduction financial accounting professor gave little bit visibility reading statement understanding ratio analysis virtual classroom getting new student course looking forward advance financial accounting course,3
294,great always great lecture professor bush,3
295,well done content delivery clarity everything top notch thank,3
296,course one toughest course pursued far expecting lot course basic advanced fundamental course floated full specialization rather part specialization,3
297,good course doubt_NEG felt_NEG subject_NEG needed_NEG depth_NEG course_NEG framework_NEG allowed_NEG would_NEG liked_NEG part_NEG course_NEG people_NEG wanted_NEG go_NEG little_NEG hands_NEG subject_NEG,3
298,finally able complete course course little tougher course due complicated accounting spreadsheet calculation finally able make good luck rest folk,3
299,best course accounting analytics,3
300,well thought many useful applicable technique provided put work immediately,3
301,course helpful thanks lot everyone made happen,3
302,would add example populate data even spend time optional video professor assistant go testing ratio something similar operation analytics feel like professor rushing explanation model maybe people found course useful however felt like much text immediate switch excel file elaborated shortly overall sure_NEG apply_NEG ratios_NEG final_NEG project_NEG,2
303,first would like express gratefulness course presenting excellent platform interested ongoing lifetime education hardworking contribution bring greatest course top university around world second thank prof brian christopher time work especially knowledge brought shared within video truly appreciate like way teaching delivering professional knowledge student started stepping accounting field found accounting class much interesting done pure enjoyment learnt key knowledge hand course gave general clear picture important critical accounting daily business management continue study accounting pursue professional goal career path,3
304,lot considerably complex dry accounting statistic subject matter covered high level without much discussion quiz question unnecessarily complex discourage turn new subject matter completing course last week pretty interesting though taking full business analytic course find quality complexity content place way simple highly complex,1
305,really informative original useful,3
306,course provides deeper insight financial performance pragmatic basis however course really brief exercise cannot thoroughly provide reliable measure understanding lecture,3
307,course make accounting interesting especially example illustrate virtual student bring fun week however really integrated course structure,3
308,definitely good course working either accounting analytics gave new idea apply analytical method interesting example identify number management analytics help set non financial metric drive financial outcome,3
309,insightful,3
310,incredible package,3
311,liked although felt like course one first three week another one last week first course ok regular accounting stuff rusty enjoyed second course one related analytics give star see lack preparation team made_NEG proper_NEG link_NEG accounting_NEG analytics_NEG,2
312,thanks lot putting amazing course,3
313,challenging course mixture forensic investigation method accounting,3
314,technical fun exploration accounting analytics completed full gamut analytics business context covered specialization,3
315,prof brain superb hold teaching ability complicated subject accounting unmatched,3
316,thank,3
317,vote pro bush,3
318,good course beginner analytics module good one,3
319,excellent course aspiring financial analyst,3
320,love course much practical systematically content useful accounting little bit challenging follow watched whole video time order pas assignment,3
